subject,session,run,trial_nr,n,response,range,response_time
01,1,4,8,10.0,11.0,narrow,0.9509981000001062
01,1,4,9,18.0,18.0,narrow,0.4505411000000094
01,1,4,10,20.0,17.0,narrow,0.3004377999995995
01,1,4,11,18.0,20.0,narrow,1.7352381000000603
01,1,4,12,25.0,20.0,narrow,0.0635330000004614
01,1,4,13,21.0,18.0,narrow,0.4137980999994397
01,1,4,14,25.0,21.0,narrow,0.230284300000676
01,1,4,15,22.0,,narrow,
01,1,4,16,17.0,18.0,narrow,1.38467750000018
01,1,4,17,16.0,16.0,narrow,1.48473709999962
01,1,4,18,16.0,15.0,narrow,2.085200000000441
01,1,4,19,12.0,13.0,narrow,1.4682056000001469
01,1,4,20,19.0,17.0,narrow,1.4013668000006874
01,1,4,21,11.0,12.0,narrow,1.0175659999995332
01,1,4,22,25.0,24.0,narrow,0.8507116000000678
01,1,4,23,18.0,19.0,narrow,1.2013121999998475
01,1,4,24,25.0,19.0,narrow,1.71827519999988
01,1,4,25,17.0,17.0,narrow,0.934277999999722
01,1,4,26,14.0,16.0,narrow,1.284552000000076
01,1,4,27,16.0,17.0,narrow,0.1001544000000649
01,1,4,28,17.0,17.0,narrow,0.7008205000001908
01,1,4,29,23.0,22.0,narrow,0.2503019999994649
01,1,4,30,10.0,11.0,narrow,0.3501836000004914
01,1,5,1,28.0,33.0,wide,1.334708899999896
01,1,5,2,34.0,31.0,wide,1.0176934999999503
01,1,5,3,19.0,21.0,wide,1.034244899999976
01,1,5,4,33.0,29.0,wide,0.6172034999999596
01,1,5,5,28.0,24.0,wide,0.2670693000000028
01,1,5,6,31.0,28.0,wide,1.88497229999939
01,1,5,7,10.0,13.0,wide,1.9186803000002328
01,1,5,8,40.0,34.0,wide,2.2854925999999978
01,1,5,9,32.0,24.0,wide,1.7331490999995367
01,1,5,10,27.0,25.0,wide,0.6341283000001567
01,1,5,11,30.0,26.0,wide,1.201145500000166
01,1,5,12,38.0,37.0,wide,1.151141600000301
01,1,5,13,31.0,,wide,
01,1,5,14,12.0,15.0,wide,1.551285700000335
01,1,5,15,13.0,13.0,wide,0.0300239999996847
01,1,5,16,33.0,29.0,wide,0.9843948999996428
01,1,5,17,30.0,30.0,wide,1.464887400000407
01,1,5,18,26.0,23.0,wide,0.1666990999992776
01,1,5,19,23.0,24.0,wide,1.5014403000004677
01,1,5,20,38.0,32.0,wide,0.2335536000000502
01,1,5,21,24.0,21.0,wide,0.0667687999994086
01,1,5,22,37.0,,wide,
01,1,5,23,39.0,34.0,wide,1.7018046000002869
01,1,5,24,38.0,30.0,wide,1.8517324999993432
01,1,5,25,15.0,17.0,wide,1.56837859999996
01,1,5,26,19.0,19.0,wide,1.2176481999995303
01,1,5,27,29.0,25.0,wide,1.5850445000005493
01,1,5,28,13.0,14.0,wide,1.8016954000004264
01,1,5,29,10.0,13.0,wide,1.9183619999994337
01,1,5,30,19.0,21.0,wide,0.7170646999993551
01,1,6,1,33.0,28.0,wide,1.100951100000202
01,1,6,2,38.0,36.0,wide,0.250110200000563
01,1,6,3,29.0,23.0,wide,0.4170936000000438
01,1,6,4,20.0,22.0,wide,1.367861400000038
01,1,6,5,15.0,18.0,wide,1.5180203999998412
01,1,6,6,14.0,18.0,wide,2.0353658000003634
01,1,6,7,13.0,15.0,wide,1.6354168999996546
01,1,6,8,11.0,16.0,wide,1.8018353000006757
01,1,6,9,30.0,31.0,wide,0.3330221999995046
01,1,6,10,10.0,17.0,wide,1.468050000000403
01,1,6,11,35.0,32.0,wide,0.4838972999996258
01,1,6,12,39.0,40.0,wide,1.0012393999995766
01,1,6,13,36.0,32.0,wide,0.1968176000000312
01,1,6,14,24.0,21.0,wide,1.067809899999702
01,1,6,15,21.0,19.0,wide,0.1135124000002179
01,1,6,16,20.0,19.0,wide,0.1129498000000239
01,1,6,17,29.0,23.0,wide,2.01842089999991
01,1,6,18,17.0,,wide,
01,1,6,19,20.0,,wide,
01,1,6,20,15.0,17.0,wide,1.368039099999805
01,1,6,21,19.0,21.0,wide,1.6814930999998978
01,1,6,22,20.0,21.0,wide,1.1444080000001122
01,1,6,23,31.0,29.0,wide,0.2834589000003689
01,1,6,24,14.0,18.0,wide,2.1023347000000285
01,1,6,25,25.0,27.0,wide,1.9853784999995696
01,1,6,26,10.0,12.0,wide,1.0177110000004177
01,1,6,27,24.0,21.0,wide,1.067926599999737
01,1,6,28,37.0,33.0,wide,0.8673815000001923
01,1,6,29,38.0,38.0,wide,1.5015561000000162
01,1,6,30,34.0,28.0,wide,1.0677139999997962
01,1,7,1,29.0,25.0,wide,0.0499206000004051
01,1,7,2,20.0,19.0,wide,0.250512599999638
01,1,7,3,12.0,,wide,
01,1,7,4,13.0,16.0,wide,1.384894400000121
01,1,7,5,21.0,25.0,wide,1.618409900000188
01,1,7,6,22.0,24.0,wide,0.9343638000000284
01,1,7,7,22.0,21.0,wide,1.551752299999862
01,1,7,8,16.0,21.0,wide,1.4512090999996872
01,1,7,9,10.0,14.0,wide,1.0178524000002651
01,1,7,10,10.0,,wide,
01,1,7,11,21.0,25.0,wide,1.468091099999583
01,1,7,12,35.0,32.0,wide,0.8674859000002471
01,1,7,13,38.0,40.0,wide,0.9343018999998094
01,1,7,14,35.0,30.0,wide,1.401542000000518
01,1,7,15,31.0,27.0,wide,0.4336887999997998
01,1,7,16,21.0,19.0,wide,1.0010402999996586
01,1,7,17,36.0,31.0,wide,1.3846639000003051
01,1,7,18,25.0,26.0,wide,0.833722299999863
01,1,7,19,25.0,22.0,wide,1.518207999999504
01,1,7,20,11.0,10.0,wide,1.0176750000000538
01,1,7,21,31.0,27.0,wide,1.1105399999996737
01,1,7,22,13.0,18.0,wide,1.2180809999999838
01,1,7,23,22.0,20.0,wide,1.968414400000256
01,1,7,24,25.0,25.0,wide,1.9020902000002025
01,1,7,25,19.0,19.0,wide,1.951659700000164
01,1,7,26,38.0,31.0,wide,0.9677491000002192
01,1,7,27,11.0,11.0,wide,1.85132270000031
01,1,7,28,24.0,19.0,wide,0.4501220000001922
01,1,7,29,23.0,20.0,wide,1.18453640000007
01,1,7,30,26.0,26.0,wide,0.5336256000000503
01,1,8,1,22.0,21.0,wide,1.5349734000001265
01,1,8,2,39.0,34.0,wide,1.576813100000436
01,1,8,3,21.0,27.0,wide,0.0333737999999357
01,1,8,4,21.0,22.0,wide,1.6850297999999384
01,1,8,5,11.0,14.0,wide,0.800464999999349
01,1,8,6,20.0,18.0,wide,1.985123599999497
01,1,8,7,23.0,28.0,wide,2.0521490000000995
01,1,8,8,19.0,17.0,wide,2.0511858999998367
01,1,8,9,15.0,19.0,wide,0.0999197999999523
01,1,8,10,38.0,33.0,wide,1.635176699999647
01,1,8,11,16.0,19.0,wide,0.5506992000000537
