subject,session,mapping,run,trial_nr,orientation,value,reward,response,response_time
2,1,cdf,4,77,157.5,34.0,67.5,35.0,1.8982817000000975
2,1,cdf,4,78,120.0,31.0,42.0,30.0,1.8863668999999843
2,1,cdf,4,79,165.0,36.0,49.0,36.0,2.4170131000000765
2,1,cdf,4,80,15.0,8.0,42.0,10.0,2.8296649999999772
2,1,cdf,4,81,60.0,13.0,42.0,12.5,2.204789500000061
2,1,cdf,4,82,75.0,16.0,42.0,16.5,2.3225406999999905
2,1,cdf,4,83,7.5,5.5,42.0,5.5,2.522940399999925
2,1,cdf,4,84,112.5,30.0,49.0,30.5,2.795695999999907
2,1,cdf,4,85,22.5,10.0,42.0,11.5,2.1481315000000905
2,1,cdf,4,86,172.5,38.5,74.5,38.5,2.029914299999973
2,1,cdf,4,87,105.0,28.0,55.0,30.0,2.040021300000035
2,1,cdf,4,88,90.0,22.0,42.0,24.5,0.6369285999999192
2,1,cdf,4,89,82.5,18.5,42.0,18.5,1.662595900000042
2,1,cdf,4,90,135.0,32.0,60.5,34.0,2.523745299999973
2,1,cdf,4,91,52.5,12.5,42.0,14.0,2.158027899999979
2,1,cdf,4,92,142.5,32.5,51.5,32.0,2.758766400000013
2,1,cdf,5,93,30.0,11.0,42.0,12.5,1.3088583999999628
2,1,cdf,5,94,90.0,22.0,42.0,22.0,1.9572269000000233
2,1,cdf,5,95,112.5,30.0,42.0,30.0,1.414928800000098
2,1,cdf,5,96,60.0,13.0,42.0,14.0,1.8512869000001049
2,1,cdf,5,97,82.5,18.5,53.5,18.5,2.758966300000111
2,1,cdf,5,98,120.0,31.0,53.0,30.5,1.7802404999999908
2,1,cdf,5,99,157.5,34.0,53.5,36.0,2.00437809999994
2,1,cdf,5,100,67.5,14.0,42.0,14.0,2.464006599999948
2,1,cdf,5,101,142.5,32.5,58.0,34.0,2.3934180999999626
2,1,cdf,5,102,165.0,36.0,0.0,,
2,1,cdf,5,103,52.5,12.5,42.5,16.5,1.43881609999994
2,1,cdf,5,104,150.0,33.0,73.5,36.0,2.0867964999999913
