subject,session,run,trial_nr,n1,n2,p1,p2,choice,rt
02,3t2,4,76,7.0,14.0,1.0,0.55,True,3.445835948808053
02,3t2,4,77,10.0,10.0,1.0,0.55,False,0.8918692824327223
02,3t2,4,78,20.0,42.0,1.0,0.55,True,1.1245443951602423
02,3t2,4,79,14.0,23.0,1.0,0.55,True,2.1598847152126837
02,3t2,4,80,28.0,37.0,1.0,0.55,False,0.9907425014107644
02,3t2,4,81,14.0,20.0,1.0,0.55,False,0.8575207080784821
02,3t2,4,82,28.0,29.0,1.0,0.55,False,1.3251835000760934
02,3t2,4,83,14.0,26.0,1.0,0.55,False,1.8095191314100416
02,3t2,4,84,7.0,7.0,1.0,0.55,False,1.0079014196940363
02,3t2,4,85,29.0,20.0,0.55,1.0,True,1.2914300936809298
02,3t2,4,86,26.0,20.0,0.55,1.0,True,2.4275029675527264
02,3t2,4,87,46.0,28.0,0.55,1.0,True,1.174794651986332
02,3t2,4,88,10.0,7.0,0.55,1.0,True,1.1252926493594089
02,3t2,4,89,16.0,10.0,0.55,1.0,True,1.7259840687847827
02,3t2,4,90,7.0,5.0,0.55,1.0,True,1.793179284779853
02,3t2,4,91,37.0,28.0,0.55,1.0,True,1.0747368227557672
02,3t2,4,92,20.0,14.0,0.55,1.0,True,1.4090910323707249
02,3t2,4,93,16.0,7.0,0.55,1.0,False,0.9073855371470928
02,3t2,4,94,41.0,28.0,0.55,1.0,True,1.3248836559645838
02,3t2,4,95,46.0,28.0,0.55,1.0,False,1.5087031636717256
02,3t2,4,96,6.0,5.0,0.55,1.0,False,1.5753643859329711
02,3t2,5,97,9.0,5.0,0.55,1.0,True,1.746574168023017
02,3t2,5,98,37.0,28.0,0.55,1.0,True,1.258418613117108
02,3t2,5,99,20.0,14.0,0.55,1.0,False,1.0087162724344123
02,3t2,5,100,29.0,28.0,0.55,1.0,True,0.9748118892557472
02,3t2,5,101,26.0,14.0,0.55,1.0,True,1.359015559046398
02,3t2,5,102,66.0,28.0,0.55,1.0,False,1.1919210243759153
02,3t2,5,103,32.0,28.0,0.55,1.0,True,0.9913798584916692
02,3t2,5,104,26.0,14.0,0.55,1.0,True,1.3919013762997707
02,3t2,5,105,14.0,7.0,0.55,1.0,False,1.074720549808262
02,3t2,5,106,10.0,10.0,0.55,1.0,True,0.8247451852416816
02,3t2,5,107,20.0,20.0,0.55,1.0,True,0.9083040545856136
02,3t2,5,108,33.0,20.0,0.55,1.0,True,1.775738302086694
02,3t2,5,109,5.0,8.0,1.0,0.55,True,1.3248438776504372
02,3t2,5,110,10.0,14.0,1.0,0.55,True,1.0410379608669589
02,3t2,5,111,10.0,16.0,1.0,0.55,True,1.1123933255603902
02,3t2,5,112,5.0,10.0,1.0,0.55,False,1.108084610885271
02,3t2,5,113,20.0,37.0,1.0,0.55,True,0.9409105195859696
02,3t2,5,114,20.0,26.0,1.0,0.55,False,1.4589525465808038
02,3t2,5,115,7.0,16.0,1.0,0.55,True,1.24141278107345
02,3t2,5,116,28.0,66.0,1.0,0.55,True,0.8416027526591279
02,3t2,5,117,28.0,41.0,1.0,0.55,False,1.5421805326741378
02,3t2,5,118,14.0,33.0,1.0,0.55,False,1.5592731537662985
02,3t2,5,119,10.0,13.0,1.0,0.55,True,1.609030099226004
02,3t2,5,120,10.0,18.0,1.0,0.55,True,1.5922068858071723
02,3t2,6,121,21.0,10.0,0.55,1.0,True,1.0956746808919888
02,3t2,6,122,11.0,7.0,0.55,1.0,True,1.158051899248676
02,3t2,6,123,10.0,7.0,0.55,1.0,True,1.0577376204309985
02,3t2,6,124,41.0,28.0,0.55,1.0,False,1.1259077064755587
02,3t2,6,125,23.0,20.0,0.55,1.0,True,1.508819485105505
02,3t2,6,126,7.0,7.0,0.55,1.0,True,0.7569626364101936
02,3t2,6,127,10.0,10.0,0.55,1.0,True,0.790893237113778
02,3t2,6,128,29.0,14.0,0.55,1.0,False,1.20796042419353
02,3t2,6,129,23.0,10.0,0.55,1.0,False,1.1584891593547582
02,3t2,6,130,14.0,7.0,0.55,1.0,False,1.7757437264021974
02,3t2,6,131,14.0,14.0,0.55,1.0,True,1.4755726495158967
02,3t2,6,132,7.0,5.0,0.55,1.0,True,1.4920863755960738
02,3t2,6,133,20.0,23.0,1.0,0.55,True,1.124482919583386
02,3t2,6,134,7.0,10.0,1.0,0.55,False,1.5086787542518607
02,3t2,6,135,10.0,10.0,1.0,0.55,True,1.676005329088582
02,3t2,6,136,20.0,20.0,1.0,0.55,False,1.241169892276048
02,3t2,6,137,20.0,37.0,1.0,0.55,True,0.773823217336087
02,3t2,6,138,7.0,9.0,1.0,0.55,False,1.2415631551557451
02,3t2,6,139,20.0,47.0,1.0,0.55,True,1.3253579822271604
02,3t2,6,140,14.0,14.0,1.0,0.55,False,1.1917055585067828
02,3t2,6,141,28.0,66.0,1.0,0.55,True,1.0752415854554442
02,3t2,6,142,10.0,11.0,1.0,0.55,False,1.5425756036584062
02,3t2,6,143,20.0,33.0,1.0,0.55,True,2.527423983490678
02,3t2,6,144,5.0,5.0,1.0,0.55,False,0.958194498478406
02,3t2,7,145,47.0,20.0,0.55,1.0,False,1.228845545928838
02,3t2,7,146,29.0,20.0,0.55,1.0,True,1.5434154685208483
02,3t2,7,147,18.0,14.0,0.55,1.0,True,1.525140045281205
02,3t2,7,148,13.0,7.0,0.55,1.0,False,0.9915148636796404
02,3t2,7,149,16.0,14.0,0.55,1.0,True,1.0078474778892996
02,3t2,7,150,23.0,14.0,0.55,1.0,True,1.0580570523489286
02,3t2,7,151,16.0,7.0,0.55,1.0,False,1.0078489846436725
02,3t2,7,152,13.0,10.0,0.55,1.0,True,1.074493029905156
02,3t2,7,153,9.0,5.0,0.55,1.0,False,1.72594248236598
